id,c_id,course_name,class_name,dep_id,semesters,AP,DC,CC,NCAA,max_takes,public,description
34,1002/EC,English 9 Early College,,2,2,0,1,0,1,1,1,"This is an <b><u>advanced</u></b>, integrated English course based on the Indiana Academic Standards for English/Language Arts in Grades 9-10, is a study of language, literature, composition, and oral communication. Students use literary interpretation, analysis, comparisons, and evaluation to read and respond to representative works of historical or cultural significance in classic and contemporary literature balanced with nonfiction. A major emphasis of this class is to improve student writing across the curriculum through responses to literature, expository (informative), narrative, and argumentative/persuasive compositions, and sustained research assignments. Assignments are often coordinated with the Geography and History of the World course to emphasize reading and writing across the curriculum. This course bridges AP and Dual Credit courses by fostering advanced reading and writing skills. Novels and plays read in the entirety include: <em>The Other Wes Moore</em>, <em>Fahrenheit 451</em>, <em>The Odyssey</em>, and <em>Of Mice and Men</em>."
35,1004,English 10,,2,2,0,0,0,1,1,1,"English 10, an integrated English course based on the Indiana Academic Standards for English/Language Arts in Grades 9-10, is a study of language, literature, composition, and oral communication, focusing on literature with an appropriate level of complexity for this grade band. Students use literary interpretation, analysis, comparisons, and evaluation to read and respond to representative works of historical or cultural significance in classic and contemporary literature balanced with nonfiction. Students write responses to literature, expository (informative) and argumentative/persuasive compositions, and sustained research assignments. Students deliver grade-appropriate presentations with attention to audience and purpose and access, analyze, and evaluate online information.  This course is designed to prepare students to work more efficiently toward a goal of gaining skills in language usage. Novels and plays read in the entirety include: <em>Night</em>, <em>Up From the Sea</em>, <em>12 Angry Men</em>, <em>American Born Chinese</em>, and <em>Animal Farm</em>."
36,1004/H,English 10 Honors,,2,2,0,0,0,1,1,1,"Honors English 10 is a course designed to expand upon the English 10 curriculum. Students will study a more expansive variety of genres and authors with an emphasis on a more in-depth analysis of said authors. A major emphasis of this class is to improve student writing across the curriculum through the inclusion of a variety of writing styles. Audience and purpose will be addressed. This class is intended to begin preparing students for AP and Dual Credit Courses at FCHS.  Novels and plays read in the entirety include: <em>Oedipus</em>, <em>American Born Chinese</em>, <em>Macbeth</em>, <em>The Book Thief</em>, and <em>The Nickel Boys</em>.  "
37,1004/EC,English 10 Early College,,2,2,0,1,0,1,1,1,"This is an <b><u>advanced</u></b>, integrated English course aligned with the Indiana Academic Standards for English/Language Arts in Grades 9-10. Designed to challenge students through a rigorous curriculum, this course focuses on language, literature, composition, and oral communication. Students will engage in literary interpretation, analysis, and evaluation of texts with historical and cultural significance, balancing classic and contemporary literature with nonfiction works.<br>With an emphasis on college readiness, students will explore a wider range of genres and authors, developing critical thinking skills through in-depth literary discussions and analytical writing. Writing instruction will span expository, argumentative, and research-based compositions, reinforcing audience awareness and purpose. Additionally, students will refine their public speaking skills through presentations and develop media literacy by analyzing and evaluating online information.<br>This course bridges AP and Dual Credit courses by fostering advanced reading and writing skills. Novels and plays read in the entirety include: <em>Macbeth</em>, <em>Oedipus</em>, <em>The Book Thief</em>, <em>American-Born Chinese</em>, and <em>The Nickel Boys</em>."
38,1080,Journalism,,3,1,0,0,0,1,1,1,"Journalism is a one semester class for students in grades 9-12. Journalism provides students with the opportunity to improve their writing skills in the specialized field of <b><u>newspaper publishing</u></b>. Students will create a portfolio of journalistic writing which includes news, features, sports, and editorial articles. Students will also analyze and discuss both professional and student media for ethical and design concerns. The writing process is emphasized, as students use self and peer editing and teacher conferencing to revise work. The course will also cover research and interviewing techniques, AP style, headline and lead writing, and other topics to prepare students for positions on the school newspaper staff. <b><u>May be taken at the same time as Yearbook.</u></b>"
39,1064,Linguistics,,3,1,0,0,0,1,1,1,"Linguistics is the study of language structures that enable humans to communicate.  Students will examine semantics (word meanings and relationships), syntax (the arrangement of words), morphology (the formation of words by part), phonology (the study of sounds in language), sociolinguistics (society and language related), and etymology (the origin of words and how they have changed through time). Students will use these concepts to either examine a real-world language or create a fictional language in the course's major projects. The course also includes <b><u>vocabulary building and enrichment activities</u></b>. This class is intended for all <b><u>students that love independent work, language, writing, and exploring human minds and cultures.</u></b>"
40,1076,Speech,,3,1,0,0,0,1,1,1,"Speech, a course based on the Indiana Academic Standards for English/Language Arts, is the study and application of the basic principles and techniques of effective oral communication. Students deliver focused and coherent speeches that convey clear messages, using gestures, tone, and vocabulary appropriate to the audience and purpose. Students deliver different types of oral and multimedia presentations, including narrative, demonstration, informative, persuasive, and impromptu. Students use the same Standard English conventions for oral speech that they use in their writing."
41,1124/CCSP,Dual Credit Speech,,3,1,0,1,1,1,1,1,"COMM 143 - Dual Credit Speech introduces fundamental concepts and skills for effective public speaking including audience analysis, outlining, research, delivery, critical listening and evaluation, and the use of visual aids/technology."
42,1096,Technical Communication,,3,1,0,0,0,1,1,1,"Technical Communication (Business and Entrepreneurial Writing) is a single-semester course that builds essential communication skills for success in business, entrepreneurship, and skilled trades. Students learn to write resumes, prepare for job interviews, and practice professional communication through email, customer service, and workplace interactions. The course also explores digital communication using websites and social media, develops writing and presentation skills, and includes hands-on projects such as designing an original instruction manual and completing a career research presentation."
43,4086,Visual Communications,,11,1,0,0,0,0,1,1,"In Visual Communication, students will be learning how we can use computer-based technology to create expressive and unique pieces of visual art.  Sometimes we will be using technology to help us plan for more traditional art forms, while other times we will be using traditional art materials and methods to prepare for a finished product created with software.  Software that will be used are Krita, Adobe Illustrator, TinkerCAD, as well as others that will focus on digital imagery and 3D design.  One of the main focuses of this class is to understand the capabilities of these digital tools and how to utilize them in a creative, communicative way."
